,comments,preprocessed comments,sentiment
293,romulus the name of rome,romulus name rome,neutral
294,i think its going to be good hwose with me,think going good hwose,positive
295,the way they used that scary thumping noise to start the trailer and transitioned it to being the chestburster scene was terrifying,way used scary thumping noise start trailer transitioned chestburster scene terrifying,negative
296,ive always been more scared of face huggers than the actual aliens themselves i always have and i always will skull,ive always scared face huggers actual aliens always always skull,positive
297,theres something in the woer its a boohwowoer,theres something woer boohwowoer,neutral
298,fome,fome,neutral
299,its so weird they do that in colo,weird colo,negative
300,we get another alien movie before gta,get another alien movie gta,negative
301,predictably hamhanded diverse cast,predictably hamhanded diverse cast,negative
302,in space nobody can understand your accent,space nobody understand accent,neutral
303,kinda disappointed that this film didnt end up being a sequeltake place after alien resurrection instead itll be taking place between alien aliens whole new cast spinoff but still somehow connected to the main storyline,kinda disappointed film didnt end sequeltake place alien resurrection instead itll taking place alien aliens whole new cast spinoff still somehow connected main storyline,negative
304,yes it does look like it could be trash,yes look like could trash,neutral
305,cmon man we wanted to know more about the engineers and that ship jockey race not another chest buster movie with no story,cmon man wanted know engineers ship jockey race another chest buster movie story,positive
306,already saw this years ago when i was,already saw years ago,neutral
307,oh wow theyre wheeling out alien again to make some more money,oh wow theyre wheeling alien make money,positive
308,cant wait to watch,cant wait watch,neutral
309,teen space colonizers vs the xenomorph cant wait,teen space colonizers vs xenomorph cant wait,neutral
310,kids huh what will be next alien with teletubbies,kids huh next alien teletubbies,negative
311,sir ridely scott even you gave in to this bs what are these years old doing in your movies,sir ridely scott even gave bs years old movies,positive
312,another alien movie having the exact same plot as all previous alien movies unless they decide to give some more backstory etc why are they even wasting their time the only difference with this from the older movies it the aliens probably identify as trans or some other bullshit lol,another alien movie exact plot previous alien movies unless decide give backstory etc even wasting time difference older movies aliens probably identify trans bullshit lol,positive
313,in space no one can hear you alien,space one hear alien,negative
314,it already looks x better than prey was,already looks x better prey,positive
315,in fede we trust,fede trust,neutral
316,is it just me or i can hear mechagodizilla roar in the background when the alien screams,hear mechagodizilla roar background alien screams,negative
317,huuuuge alien isolation vibes and i love it,huuuuge alien isolation vibes love,positive
318,id like aliens marine movie is probably my favorite out of the series,id like aliens marine movie probably favorite series,positive
319,its basically alien for the gen z,basically alien gen z,negative
320,we want sigourney weaver person cockroach cockroach cockroach,want sigourney weaver person cockroach cockroach cockroach,neutral
321,i love how theyve taken designs from alien isolation as well as the original,love theyve taken designs alien isolation well original,positive
322,hyper hyped fr fr huge alien fan from the beginning,hyper hyped fr fr huge alien fan beginning,positive
323,same script different actors,script different actors,neutral
324,atronaut what what about the awtx project you in it,atronaut awtx project,neutral
325,i can c already its more like alien isolation game than aliens so not great,c already like alien isolation game aliens great,negative
326,i hope half the movie is a tinnitus simulation,hope half movie tinnitus simulation,negative
327,something is in the whata hugging my face its just me bro you sound like a man in a metropolis this ship is part of the arsenal,something whata hugging face bro sound like man metropolis ship part arsenal,positive
328,i want to believe but looks meh,want believe looks meh,neutral
329,at this point im rooting for the aliens,point im rooting aliens,neutral
330,what is this alien tik tok colonial marines,alien tik tok colonial marines,negative
331,video varieties clapping hands clapping hands,video varieties clapping hands clapping hands,neutral
332,alien,alien,negative
333,i think this looks terrible and wont be seeing it till a decent amount of reviews comes out i predict a high critic score and low to average audience score,think looks terrible wont seeing till decent amount reviews comes predict high critic score low average audience score,negative
334,alvarez needs a casting agent this looks like teens in space,alvarez needs casting agent looks like teens space,neutral
335,the most british way to say water lol,british way say water lol,positive
336,reminds me of the first alien yall did incredible,reminds first alien yall incredible,positive
337,looks like a remake of the st episode,looks like remake st episode,neutral
338,half life,half life,negative
339,finally gen z gets to get mauled by a giger alien,finally gen z gets get mauled giger alien,negative
340,lets continue the franchise explore more save the good parts of the prometheus universe producers nah just make a space slasher thanks a lot,lets continue franchise explore save good parts prometheus universe producers nah make space slasher thanks lot,positive
341,teenagers in spacelooks like im cheering on the alien,teenagers spacelooks like im cheering alien,negative
342,release date august th,release date august th,neutral
343,petition for making alien isolation,petition making alien isolation,negative
344,let me guess at the end one chick survives,let guess end one chick survives,neutral
345,looks awful,looks awful,negative
346,its all fun and games until isaac shows up with his plasma cutter obviously awtx is in a great spot,fun games isaac shows plasma cutter obviously awtx great spot,positive
347,so they are going to release a new alien movie with the same storyline same plot as the first alien movie every years got it,going release new alien movie storyline plot first alien movie every years got,negative
348,who got a bunch of teenagers on a space station seems weird,got bunch teenagers space station seems weird,negative
349,yawn more of the same,yawn,positive
350,wow party popper,wow party popper,positive
351,in space is impossible theres no such thing as space,space impossible theres thing space,negative
352,looks lame like some fan made rubbish,looks lame like fan made rubbish,negative
353,i dont see no marine action,dont see marine action,positive
354,yeah put a crew of foul mouthed teenagers in space on some big a space ship and watch things pop out of their chests its been done far better in the previous films,yeah put crew foul mouthed teenagers space big space ship watch things pop chests done far better previous films,positive
355,it looks stupid to me they made spaghetti horror out of all times horror classic just leave the alien franchise alone please,looks stupid made spaghetti horror times horror classic leave alien franchise alone please,negative
356,i feel like watching all the alien movies again,feel like watching alien movies,negative
357,i dont know why older horror films are much more scarier than more modern ones,dont know older horror films much scarier modern ones,positive
358,christ they really ruined this whole franchise this looks like some forgettable summer teen horror flick,christ really ruined whole franchise looks like forgettable summer teen horror flick,negative
359,please i need to remaster the old sequel ve forgotten the name any body help me with he previous sequels from to,please need remaster old sequel forgotten name body help previous sequels,negative
360,that facehugger didnt even buy the man dinner,facehugger didnt even buy man dinner,neutral
361,catch an exclusive interview with binances ceo to get the scoop on future developments,catch exclusive interview binances ceo get scoop future developments,neutral
362,could really use a yautja or two right now,could really use yautja two right,positive
363,i had to rewatch this trailer just now didnt see any zoomer broccoli so maybe this film still has potential,rewatch trailer didnt see zoomer broccoli maybe film still potential,neutral
364,is the black dude robot,black dude robot,negative
365,alien destroyer of an ancient interstellar empire easy beat by anything wearing white panties eeeew face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,alien destroyer ancient interstellar empire easy beat anything wearing white panties eeeew face tears joy face tears joy face tears joy face tears joy face tears joy,positive
366,didnt see one romulan in the entire trailer,didnt see one romulan entire trailer,neutral
367,generation z versus the alien omfgoddess plzzzzz deliver me,generation z versus alien omfgoddess plzzzzz deliver,negative
368,remember when we all thought it cant get worse than covenant we were so young and naive,remember thought cant get worse covenant young naive,negative
369,my checklist enough lady bosses to make me not interested check,checklist enough lady bosses make interested check,negative
370,not what i was expecting story follow up looks quite generic it seems that the formula is getting really old i feel the boredom out of this also they are givin hints in space no one can hear you scream scream movie formula in space,expecting story follow looks quite generic seems formula getting really old feel boredom also givin hints space one hear scream scream movie formula space,positive
371,i think it was unnecessary to show how the facehugger does its thing,think unnecessary show facehugger thing,negative
372,i am sick and tired of strong women in movies bring back the men,sick tired strong women movies bring back men,negative
373,aliens with garra charrua south americans will understand smiling face with sunglasses,aliens garra charrua south americans understand smiling face sunglasses,neutral
374,please be good please be good please be good,please good please good please good,positive
375,can no one afford to put lights in the hallways of these goddamn ships,one afford put lights hallways goddamn ships,neutral
376,it looks like theyre trying to make a genz teenage horror movie but in the alien universe bring the grownups back,looks like theyre trying make genz teenage horror movie alien universe bring grownups back,negative
377,in space no one can hear you scream they still have that tagline,space one hear scream still tagline,neutral
378,woo,woo,neutral
379,people who came from tik tok only can like this comment backhand index pointing down,people came tik tok like comment backhand index pointing,negative
380,its in the water what do you mean theres something in the waterwait can you say bottle of water for me please,water mean theres something waterwait say bottle water please,negative
381,and you thought worse than marvels and the blue beetle can no longer be alien romulus hold my beer,thought worse marvels blue beetle longer alien romulus hold beer,negative
382,aliens they mostly come out at night mostly alien romulus theres sumfin in the fain woah,aliens mostly come night mostly alien romulus theres sumfin fain woah,positive
383,so sad that the story is not about david from prometheus nd alien covenantand their journey towards origae,sad story david prometheus nd alien covenantand journey towards origae,negative
384,will we ever know what happenned with the engeeners im really over with the xenomorphs,ever know happenned engeeners im really xenomorphs,positive
385,some kind of alien romulus man awtx is the best thing you said love it,kind alien romulus man awtx best thing said love,positive
386,the cast looks like a bunch of kids face with tears of joy,cast looks like bunch kids face tears joy,positive
387,so not only has this paid tribute to alien horror and clearly aliens action horror but its also paid tribute to alien isolation those vents detail and the flare throw from the teaser trailer,paid tribute alien horror clearly aliens action horror also paid tribute alien isolation vents detail flare throw teaser trailer,negative
388,hope this doesnt turn into another f a l i e n,hope doesnt turn another f l e n,neutral
389,the way they used that scary thumping noise to start the trailer and transitioned it to being the chestburster scene was terrifying this year got actually saved by awtx,way used scary thumping noise start trailer transitioned chestburster scene terrifying year got actually saved awtx,negative
390,all alien films are the best,alien films best,positive
391,plenty of dei like most modern sci films and horror too bad,plenty dei like modern sci films horror bad,positive
392,i officially have tinnitus from this video,officially tinnitus video,neutral
393,this has to be connected to alien isolation,connected alien isolation,negative
394,hopefully this is better than the last from ridley scott folded hands,hopefully better last ridley scott folded hands,positive
395,hope this isnt garbage,hope isnt garbage,neutral
396,in space no one can hear you sequel the sequeler,space one hear sequel sequeler,neutral
397,looks like some british kids stumble across the space station from alien resurrection,looks like british kids stumble across space station alien resurrection,negative
398,looks like a live action alien isolation in a bad way and a waaay to much of a fan service,looks like live action alien isolation bad way waaay much fan service,negative
399,i like my aliens movies made by non horror directors,like aliens movies made non horror directors,neutral
400,child actors not a good movie,child actors good movie,negative
401,so many spoilers in this young people alien trailer,many spoilers young people alien trailer,positive
402,ive seen this before and ill watch it again for better or for worse,ive seen ill watch better worse,negative
403,several alien vibes in this trailer good,several alien vibes trailer good,positive
404,we were expecting it to be connected to prometheuss engineer story however it turned out to be the same old alien horror im tired of seeing the old product in a new package,expecting connected prometheuss engineer story however turned old alien horror im tired seeing old product new package,negative
405,another dark unlit move where you cant see a thing in daylight,another dark unlit move cant see thing daylight,negative
406,hello maam were with the colonial marines we can assure your safety,hello maam colonial marines assure safety,neutral
407,looks fantastic but i regret watching this trailer honestly i feel like it showed off wayyy too much,looks fantastic regret watching trailer honestly feel like showed wayyy much,positive
408,smiling face with heart eyes smiling face with heart eyes smiling face with heart eyes smiling face with heart eyes smiling face with heart eyes,smiling face heart eyes smiling face heart eyes smiling face heart eyes smiling face heart eyes smiling face heart eyes,neutral
409,this better inspire another alien isolation game,better inspire another alien isolation game,negative
410,no one wants to watch this bs we want to see whats going on with the engineers,one wants watch bs want see whats going engineers,positive
411,in spaceno one heats your cream should know awtx is in its prime,spaceno one heats cream know awtx prime,neutral
412,dei is strong with this film unamused face,dei strong film unamused face,positive
413,alien alien again weve seen this movie,alien alien weve seen movie,negative
414,among us irl,among us irl,neutral
415,no one from subsequent directors didnt understood that alien movie is not about creepy lizard in space its about capitalism itself and its origins,one subsequent directors didnt understood alien movie creepy lizard space capitalism origins,negative
416,i hope we finally get a worthy aliens sequel,hope finally get worthy aliens sequel,positive
417,it just looks lame pensive face aliens tinnitus alins fumfings ind wtah kills incompetent people alina romulus the ya movie,looks lame pensive face aliens tinnitus alins fumfings ind wtah kills incompetent people alina romulus ya movie,negative
418,turn on captions and it gives you all the character names beware though because it has spoiled endings to movies no exit didnt need to watch as captions gave kidnapperkiller away,turn captions gives character names beware though spoiled endings movies exit didnt need watch captions gave kidnapperkiller away,neutral
419,they needed to stop making these after the first one,needed stop making first one,positive
420,what if hasbro make alien vs predator toys,hasbro make alien vs predator toys,negative
421,another teensplattermovie alien style horror and climax has abandoned our movies and got replaced with dozens of fwords because the current generation doesnt understand proper communication otherwise,another teensplattermovie alien style horror climax abandoned movies got replaced dozens fwords current generation doesnt understand proper communication otherwise,negative
422,that facehugger is going to get this movie an x rating,facehugger going get movie x rating,neutral
423,use terminatus for emperors sake,use terminatus emperors sake,neutral
424,was his eyes supposed to turn white can clearly see his pupils,eyes supposed turn white clearly see pupils,positive
425,shame this already looks like a fail just by the cast and director,shame already looks like fail cast director,negative
426,looks like a waste of time no story line here just a horror movie cliche,looks like waste time story line horror movie cliche,negative
427,anyone hyped for this movie,anyone hyped movie,neutral
428,why has this not gotten more attention,gotten attention,positive
429,theyve totally ripped off the alien series,theyve totally ripped alien series,negative
430,ok whats new it seems the story is always the same,ok whats new seems story always,positive
431,dares some fin in da fking wahwah,dares fin da fking wahwah,neutral
432,the young people break into a place and end up victims plotlines are fede alvarezs favorite,young people break place end victims plotlines fede alvarezs favorite,positive
433,rated pg,rated pg,neutral
434,thousands of years in the future highly trained interplanetary workers who grew up on space stations will still have british working class accents,thousands years future highly trained interplanetary workers grew space stations still british working class accents,positive
435,come on mr scott i know you got it in you please make it good,come mr scott know got please make good,positive
436,feel like i just saw the whole movie,feel like saw whole movie,positive
437,that passionate kiss from the facehugger made him feel out of this world facewithtearsofjoy face with tears of joy face with tears of joy,passionate kiss facehugger made feel world facewithtearsofjoy face tears joy face tears joy,positive
438,yip b o r i n g,yip b r n g,neutral
439,w red heart,w red heart,neutral
440,in the name of science i shall put my face in it,name science shall put face,neutral
441,calling it now just based on how bad the trailer is this movie will be mid not scary and be forgotten a week after release,calling based bad trailer movie mid scary forgotten week release,negative
442,no michael fassbender ill pass,michael fassbender ill pass,negative
443,ngl yall are hating for literally no reason everyone is saying itll be bad bc its a young cast acting like most horror movies are filled with industry veterans skull,ngl yall hating literally reason everyone saying itll bad bc young cast acting like horror movies filled industry veterans skull,positive
444,that part looks like hentai personfacepalming off to a great start,part looks like hentai personfacepalming great start,positive
445,more of the same,,positive
446,i just had this reccommended by yt and i am very confused face with tears of joy grinning face with sweat grinning face with sweat,reccommended yt confused face tears joy grinning face sweat grinning face sweat,positive
447,so who plays ripley now,plays ripley,neutral
448,alien destroy our lives and humans,alien destroy lives humans,negative
449,ok another thing hollywood doesnt or does think about when releasing you have a mostly teenage cast getting oviposited down their throats and they seem to be going really in depth with those scenes now looks like anothe cuties incident,ok another thing hollywood doesnt think releasing mostly teenage cast getting oviposited throats seem going really depth scenes looks like anothe cuties incident,positive
450,has this franchise surpassed star trek movies yet lol,franchise surpassed star trek movies yet lol,positive
451,wow so bad,wow bad,negative
452,that space stations interior looks so good just like alien isolation,space stations interior looks good like alien isolation,positive
453,in space noone is over nineteen,space noone nineteen,neutral
454,looks like a teen flik hard pass they all look under lol,looks like teen flik hard pass look lol,positive
455,how obvious do you want the cgi environments to be th century studios yes,obvious want cgi environments th century studios yes,neutral
456,why does this whole cast look like theyre in high school lol,whole cast look like theyre high school lol,positive
457,id it doesnt build on the entire storyline and its just aliens killing humans then just delete the movie and start over a quiet place day one was one of the worst movies i have ever seen please dont let this be like that,id doesnt build entire storyline aliens killing humans delete movie start quiet place day one one worst movies ever seen please dont let like,negative
458,did not come out yet but i already love it looks like aliens,come yet already love looks like aliens,positive
459,i was expecting a star trekaliens crossover im quite disappointed,expecting star trekaliens crossover im quite disappointed,negative
460,alien is a perfect villain no speeches just action and fear,alien perfect villain speeches action fear,positive
461,i bet everyone on board studied spiders just before they died,bet everyone board studied spiders died,neutral
462,i dunno a whole minutes and not a single android blew another androids flute is this even an alien movie,dunno whole minutes single android blew another androids flute even alien movie,negative
463,well its about bloody time someone made an actual alien movie no white bold giants this time please,well bloody time someone made actual alien movie white bold giants time please,negative
464,how can you call this movie woke because what you all saw asian and black character beside the director said that the cast will be like year olds and they wont be seasoned scientists but a inexperienced colonisers so do some research on this movie before commenting,call movie woke saw asian black character beside director said cast like year olds wont seasoned scientists inexperienced colonisers research movie commenting,negative
465,erh nerh britbongers in space regional english accents utterly ruin scifi and i say this as a card carrying britbonger fantasy yes totally fine works well scifi absolutely hate please just stop,erh nerh britbongers space regional english accents utterly ruin scifi say card carrying britbonger fantasy yes totally fine works well scifi absolutely hate please stop,negative
466,looks like a shitty netflix movie,looks like shitty netflix movie,neutral
467,bag actors boring faces,bag actors boring faces,negative
468,this is fantastic,fantastic,positive
469,please dont just no ill just rewatch aliens instead enough with this garbage,please dont ill rewatch aliens instead enough garbage,positive
470,trash,trash,neutral
471,id say the face hugger was doing a bit more than hugging innit,id say face hugger bit hugging innit,positive
472,so this is more or less alien but what if it was a cheesy teensearly s horror looks like its gonna blow,less alien cheesy teensearly horror looks like gon na blow,negative
473,welcome back chopper,welcome back chopper,positive
474,deadspace vibes big time,deadspace vibes big time,neutral
475,rinse cycle on repeat i see same plot no new ideas face with tears of joy movie industry is laughable rn,rinse cycle repeat see plot new ideas face tears joy movie industry laughable rn,positive
476,based on alien covenant i have no confidence that this movie will be good,based alien covenant confidence movie good,positive
477,i hopr the storyline and dialogue are a lot better in the rest of the movie,hopr storyline dialogue lot better rest movie,positive
478,ruined like star wars,ruined like star wars,neutral
479,that face hugger was in the mood and he was not who knows awtx this is the smartest thing i came across for a while,face hugger mood knows awtx smartest thing came across,neutral
480,negative lighting budget,negative lighting budget,negative
481,great another trailer that gives away of the movie amazing work century studios,great another trailer gives away movie amazing work century studios,positive
482,finally finally a movie where the writers put in something that will become a part of cinema lexicon although im not sure how to spell wo ah grinning face with sweat,finally finally movie writers put something become part cinema lexicon although im sure spell wo ah grinning face sweat,negative
483,havent you movie people ever heard of tinnitus ouch not watching this movie based on that alone dam that hurt,havent movie people ever heard tinnitus ouch watching movie based alone dam hurt,neutral
484,this is a rip off made up of exact scenes from all the other aliens movies count me out ill wait for streaming,rip made exact scenes aliens movies count ill wait streaming,negative
485,everyone in these comments seem so negativei on the other hand am excited,everyone comments seem negativei hand excited,positive
486,i wonder how denis villeneuve will do this movie,wonder denis villeneuve movie,neutral
487,official trailer to be continued loading genesis handshake ridley scott,official trailer continued loading genesis handshake ridley scott,neutral
488,in hollywood no one can hear long time fans scream in disgust,hollywood one hear long time fans scream disgust,negative
489,can they not think of new stories to tell in this universe feels like ive already seen this movie and its not even out yet,think new stories tell universe feels like ive already seen movie even yet,positive
490,why not a sequel to alien covenant sadbutrelievedface sad but relieved face loudly crying face loudly crying face loudly crying face loudly crying face enraged face,sequel alien covenant sadbutrelievedface sad relieved face loudly crying face loudly crying face loudly crying face loudly crying face enraged face,negative
491,when did they do a national casting call for high school theatre students,national casting call high school theatre students,positive
492,one of the best trailers ive seen in a while,one best trailers ive seen,positive
493,theys somethin in the fookin woer,theys somethin fookin woer,neutral
494,omg the monster in the wotah,omg monster wotah,neutral
495,where is sorjourney weaver,sorjourney weaver,neutral
496,memba alien yeah i memba,memba alien yeah memba,negative
497,this thing took yrs,thing took yrs,neutral
498,in space no one can hear you demand your money back,space one hear demand money back,neutral
499,sad how they ruined the alien and predator franchise with these lame movies,sad ruined alien predator franchise lame movies,negative
500,this unprepared untrained and inexperienced group of friends seem to last longer and better than the people did in the first two alien movies,unprepared untrained inexperienced group friends seem last longer better people first two alien movies,positive
501,that silence at the end when the title slowly forming like the first this is truly befitting successor as a semi sequel,silence end title slowly forming like first truly befitting successor semi sequel,negative
502,what a diverse cast they even have a alien,diverse cast even alien,negative
503,lol i was wondering why a lot of people picked up alien isolation again a new movie hell yeah,lol wondering lot people picked alien isolation new movie hell yeah,positive
504,starting to think chronologically this is what was going on shortly before ellen ripley woke up from hypersleep and these people were of that human colony that newt came from,starting think chronologically going shortly ellen ripley woke hypersleep people human colony newt came,neutral
505,years old kids are being let to go with billions of dolars equipment in a planetary mission to find alien life form,years old kids let go billions dolars equipment planetary mission find alien life form,negative
506,therz soin in da fuin waer,therz soin da fuin waer,neutral
507,i hope whoever did this sound design did it for the whole movie,hope whoever sound design whole movie,positive
508,even the farthest spaceship crew must have seen alien by now so why do they repeat their mistakes again and again,even farthest spaceship crew must seen alien repeat mistakes,negative
509,fire fire fire fire,fire fire fire fire,neutral
510,times over my friends no one is getting anymore likes for leaving a comment weyland yutani building better worlds end of transmission,times friends one getting anymore likes leaving comment weyland yutani building better worlds end transmission,positive
511,well thats a new nope acid blood suspended in zero gravity while youre floating helplessly through it yea thats a nope,well thats new nope acid blood suspended zero gravity youre floating helplessly yea thats nope,positive
512,alien snatch you fakin lemon face with tears of joy,alien snatch fakin lemon face tears joy,positive
513,recycling movies,recycling movies,neutral
514,those aggressive face huggers are lowkey terrifying,aggressive face huggers lowkey terrifying,negative
515,another dei failure bring back the real series not this politically correct crap,another dei failure bring back real series politically correct crap,negative
516,looks like dei got a hold of the aliens franchise as well,looks like dei got hold aliens franchise well,neutral
517,i was hoping it lined up with the last two movies,hoping lined last two movies,neutral
518,british dehydrated spongebob waaaaaaauhhhhhhhhhhh,british dehydrated spongebob waaaaaaauhhhhhhhhhhh,neutral
519,aliens gen z,aliens gen z,neutral
520,all this time since this what you come up with this look like its gonna be pure garbage crying face crying face,time since come look like gon na pure garbage crying face crying face,negative
521,look a teenage angst alien movie they sure know what people want,look teenage angst alien movie sure know people want,positive
522,im ready alien,im ready alien,negative
523,no imagination always the same with alien,imagination always alien,negative
524,alien inclusion,alien inclusion,negative
525,melrose space,melrose space,neutral
526,why just why please let old franchises be they dont need endless remakes and continuation films whilst these versions are good they had their chance and blew it to fully connect the s alien films,please let old franchises dont need endless remakes continuation films whilst versions good chance blew fully connect alien films,positive
527,no dont like it,dont like,neutral
528,the first trailers looked dumb this makes the movie a bit more exciting,first trailers looked dumb makes movie bit exciting,positive
529,sumfin inna wahuh face with tears of joy,sumfin inna wahuh face tears joy,positive
530,alien franchise is getting draggy,alien franchise getting draggy,negative
531,pov they finally made among us into a movie,pov finally made among us movie,neutral
532,can already tell theyve coopted the franchise to spread the message which is so phenomenally stupid given the original ah well,already tell theyve coopted franchise spread message phenomenally stupid given original ah well,negative
533,not sure what i think of this as the guy from after is in this looks a little slow thinking face,sure think guy looks little slow thinking face,negative
534,jesus that face hugger just violated that man,jesus face hugger violated man,neutral
535,hmm looks exactly like the rest of them,hmm looks exactly like rest,positive
536,never been more excited for an alien movie since aliens,never excited alien movie since aliens,positive
537,going by the teaser they are solely relying on jump scares no story nothing new just cheap darks and jump scares milking the franchise brit accent thrown in to make it look different,going teaser solely relying jump scares story nothing new cheap darks jump scares milking franchise brit accent thrown make look different,positive
538,i cant believe were going to see the xenomorphs fight the romulans,cant believe going see xenomorphs fight romulans,neutral
539,the best part about these trailers so far is that fede alvarez said in an interview when the teaser trailer came out he doesnt want to show too much of this movie who knows awtx this is the most impressive thing i came across for a while,best part trailers far fede alvarez said interview teaser trailer came doesnt want show much movie knows awtx impressive thing came across,positive
540,so they remade alien with dei what is original or adds to the story,remade alien dei original adds story,positive
541,i have a feeling all of the characters are going to have awful acting awful lines and make even worse decisions,feeling characters going awful acting awful lines make even worse decisions,negative
542,that portable xray device is bloody awesome,portable xray device bloody awesome,positive
543,lots of dei red flags here,lots dei red flags,neutral
544,prometheus put a point,prometheus put point,neutral
545,it still doesnt answer the fundamental question ive been wondering since do xenomorphs poop,still doesnt answer fundamental question ive wondering since xenomorphs poop,neutral
546,please do not get involved i am begging you,please get involved begging,neutral
547,sumfn in the woer,sumfn woer,neutral
548,no,,neutral
549,what is this bs kids in space enough,bs kids space enough,neutral
550,man i really wish they would have picked up off covenant,man really wish would picked covenant,positive
551,he should let hr know about that face hugger,let hr know face hugger,neutral
552,omg,omg,neutral
553,binances ceo opens up about future developments in an exclusive interview,binances ceo opens future developments exclusive interview,neutral
554,ello oym from essex in case you couldnt tell me given name is dickey oy come from billericay an oyve fallen down the well,ello oym essex case couldnt tell given name dickey oy come billericay oyve fallen well,negative
555,cant they come up with original ideas anymore especially in scifi,cant come original ideas anymore especially scifi,positive
556,xeno talks for the first time xenomorph we re gonna get youuu facewithtearsofjoy,xeno talks first time xenomorph gon na get youuu facewithtearsofjoy,positive
557,and this is ow ong tuh yu et ow a here theres something in deh wow tah when the writing is so bad its just better to plug your ears and listen to your own tinnitus,ow ong tuh yu et ow theres something deh wow tah writing bad better plug ears listen tinnitus,positive
558,wow that title reveal is straight out of the s,wow title reveal straight,positive
559,fede alvarez said he played alien isolation and it was a huge reason why he wanted to make this movie i freaking knew it i loved that game so now im even more hyped,fede alvarez said played alien isolation huge reason wanted make movie freaking knew loved game im even hyped,positive
560,the brit the s sumfn in tha wowa the facehugger inserting speech upgrade,brit sumfn tha wowa facehugger inserting speech upgrade,neutral
561,the facehugger attacks look to be wicked af folded hands,facehugger attacks look wicked af folded hands,neutral
562,the overly dramatic dialogue and hollywood magic have already foreshadowed its place in the hall of craptastic alien films i hope im wrong but i have no plans to see it in theaters ill play alien isolation instead,overly dramatic dialogue hollywood magic already foreshadowed place hall craptastic alien films hope im wrong plans see theaters ill play alien isolation instead,negative
563,it looks like a basic sci fi jumpscare movie like the bad guy could be anything i dont feel a connection to the storyline lore or characters,looks like basic sci fi jumpscare movie like bad guy could anything dont feel connection storyline lore characters,negative
564,going to be trash,going trash,neutral
565,they got the gen z cast,got gen z cast,neutral
566,the face huggers really have the gwak gwak,face huggers really gwak gwak,positive
567,bit rude to put that egg in me chest innit brav,bit rude put egg chest innit brav,negative
568,alien screaming college interns,alien screaming college interns,negative
569,look so bad,look bad,negative
570,i predict it will be painfully adequate,predict painfully adequate,positive
571,please dont be some woke bullcrap,please dont woke bullcrap,neutral
572,the british dude there is sumtin in a wo ah the alien i mostly drink woah mostly,british dude sumtin wo ah alien mostly drink woah mostly,positive
573,nobody talking about the dude givin the facehugger the gawkgawk mkay,nobody talking dude givin facehugger gawkgawk mkay,neutral
574,face hugger would have to take me out to dinner before jumping on my face like that,face hugger would take dinner jumping face like,neutral
575,great now my tinnitus has tinnitus,great tinnitus tinnitus,positive
576,if it doesnt tie into prometheus and covenant that will be very disappointing,doesnt tie prometheus covenant disappointing,negative
577,this trailer is revealing too much,trailer revealing much,positive
578,same theme same story and different actors stop this bullshit confounded face head shaking vertically its a clown clown face now,theme story different actors stop bullshit confounded face head shaking vertically clown clown face,neutral
579,actorscrew too young ridiculous,actorscrew young ridiculous,negative
580,crap,crap,negative
581,somehow someway in some hopeful time in the future they do an alien movie like they did the nd aliens,somehow someway hopeful time future alien movie like nd aliens,negative
582,so many spoilers in the trailer jez are that the best moments of the movie lol im sorry for my negativity but my trust in big movie studios are so low i havent seen a good aaa movie in a while it is just over the top action and sg with a crappy story that doesnt make any sense i wish they focused more on the story and less action dont get me wrong a good action scene can be real good if it is done right il stop rambling now lets hope this movie is good,many spoilers trailer jez best moments movie lol im sorry negativity trust big movie studios low havent seen good aaa movie top action sg crappy story doesnt make sense wish focused story less action dont get wrong good action scene real good done right il stop rambling lets hope movie good,positive
583,where is siqourey weaver ripley she was the only one who knew how to kill it,siqourey weaver ripley one knew kill,neutral
584,in spaceno one is there but you and pdiddy,spaceno one pdiddy,neutral
585,why cant they have an alien movie take place in new york or something and fight the us military that would be cool and more different this trailer looks like the same plot as the other alien movies,cant alien movie take place new york something fight us military would cool different trailer looks like plot alien movies,positive
586,theres something in the whaer,theres something whaer,neutral
587,as a fan who grew up watching alien and thus watched the movies countless times this trailer doesnt raise the slightest curiosity and that shocked me,fan grew watching alien thus watched movies countless times trailer doesnt raise slightest curiosity shocked,negative
588,lemme guess they totally disregard the quarantine protocol,lem guess totally disregard quarantine protocol,neutral
589,ladies and gentlemen the movie opens in month im happy that fede alvarez and ridley scott are getting back to basics here dont get me wrong i really enjoy prometheus and covenant but its always refreshing to go back to to the classic feel of the original movie from years ago love all these familiar callbacks and this looks like the darkest installment yet i wonder how this will play out being set after part and before part,ladies gentlemen movie opens month im happy fede alvarez ridley scott getting back basics dont get wrong really enjoy prometheus covenant always refreshing go back classic feel original movie years ago love familiar callbacks looks like darkest installment yet wonder play set part part,positive
590,looks like a rubbish sixthform drama course imagining as typified by low quality unconvincing delivery of theres just sumfink in vuh fukin wohah i think ill give it a miss prometheus and especially covenant very hard acts to follow,looks like rubbish sixthform drama course imagining typified low quality unconvincing delivery theres sumfink vuh fukin wohah think ill give miss prometheus especially covenant hard acts follow,negative
591,meh probably wont be that good,meh probably wont good,positive
592,there will be a parach again for any,parach,neutral
593,put a diverse woman in it and make it super lame my official prediction for this movie borrowed from cartman,put diverse woman make super lame official prediction movie borrowed cartman,negative
